time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
0.500000,UT,1,FORWARD_USER_CH,0,18,24.641937,183.969164,0.000000,-80.412080,24.641937,0
0.500000,UT,2,FORWARD_USER_CH,0,18,24.638526,183.459434,0.000000,-80.661755,24.638526,0
0.500000,UT,3,FORWARD_USER_CH,0,19,24.625126,184.415645,0.000000,-81.524839,24.625126,0
0.500000,UT,4,FORWARD_USER_CH,0,19,23.859420,182.700208,0.000000,-92.416894,23.859420,0
0.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
0.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
0.500000,GW,2,NA,-1,-1,nan,nan,nan,nan,nan,0
1.000000,UT,1,FORWARD_USER_CH,0,18,24.642313,183.958670,0.000000,-80.383721,24.642313,0
1.000000,UT,2,FORWARD_USER_CH,0,18,24.638816,183.448538,0.000000,-80.641019,24.638816,0
1.000000,UT,3,FORWARD_USER_CH,0,19,24.624256,184.404832,0.000000,-81.575447,24.624256,0
1.000000,UT,4,FORWARD_USER_CH,0,19,23.851498,182.684402,0.000000,-92.461719,23.851498,0
1.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
1.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
1.000000,GW,2,NA,-1,-1,nan,nan,nan,nan,nan,0
1.500000,UT,1,FORWARD_USER_CH,0,18,24.642681,183.948181,0.000000,-80.355714,24.642681,0
1.500000,UT,2,FORWARD_USER_CH,0,18,24.639100,183.437648,0.000000,-80.620674,24.639100,0
1.500000,UT,3,FORWARD_USER_CH,0,19,24.623365,184.394019,0.000000,-81.626698,24.623365,0
1.500000,UT,4,FORWARD_USER_CH,0,19,23.842791,182.668581,0.000000,-92.510558,23.842791,0
1.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
1.500000,GW,1,RETURN_FEEDER_CH,0,1,21.926360,183.798336,0.000000,-83.718109,21.926360,0
1.500000,GW,2,NA,-1,-1,nan,nan,nan,nan,nan,0
2.000000,UT,1,FORWARD_USER_CH,0,18,24.643043,183.937698,0.000000,-80.328054,24.643043,0
2.000000,UT,2,FORWARD_USER_CH,0,18,24.639378,183.426766,0.000000,-80.600717,24.639378,0
2.000000,UT,3,FORWARD_USER_CH,0,19,24.622451,184.383207,0.000000,-81.678607,24.622451,0
2.000000,UT,4,FORWARD_USER_CH,0,19,23.833246,182.652743,0.000000,-92.563580,23.833246,0
